Coordinates of best detected filamentary structures. Maps are square (for example sizes are 4.1618 by 4.1618)

lon(deg)   lat(deg)  size(deg)
---------  --------  ------
  -1.207    19.1743  4.1618
-100.709    19.1743  4.1618
-103.819    22.2792  4.1616
-104.94    -29.2646  4.4931
-105.406    42.9837  4.4912
-105.841    41.9838  4.4914
-106.326   -39.1811  4.4919
-109.434    13.2321  4.494
-112.216   -23.9706  4.4935
-115.713    30.4758  4.493
-116.254    -9.9524  4.4941
-125.585   -33.6086  4.1609
-135.24      8.6252  4.4941
 -14.4749   -6.8609  4.8427
-142.241    12.0963  4.4941
-143.641   -15.8283  4.494
 -15.0424   50.2415  4.4892
 -15.2797  -12.1766  4.8426
 -15.453    50.3707  4.4892
-154.531    -7.9     4.4942
-158.568    16.3345  4.4939
-159.789   -11.8744  4.162
-159.789   -46.0281  4.1591
 -16.7542    9.8597  4.162
-160.24     12.7241  6.5648
-161.766    31.311   4.8412
-169.117   -36.7134  4.1606
-170.666   -35.8444  4.4924
-175.336   -27.3988  4.1613
 -19.8636  -14.9793  4.1619
  -2.3065   12.6256  4.8426
  -2.4096   15.4935  4.8424
 -25.5685  -19.5954  5.2236
 -28.7641  -34.1763  4.4926
  -3.3392   45.1495  6.0769
  -3.6297  -20.2134  4.8422
-359.848    28.6271  4.4932
-359.887    25.6746  4.8418
 -36.1368  -17.2143  4.4939
  -4.0558   45.2172  6.5543
  -4.2405   14.3642  4.8425
  -4.3164   31.5938  4.161
  -4.691    45.0482  4.4908
 -41.5081   -4.5558  4.4942
 -41.5694  -25.0276  4.4935
 -42.6429  -22.4474  4.4936
 -44.7392  -11.8744  4.162
 -44.7962  -21.9801  4.4937
 -46.7894  -34.6     4.4926
 -49.6548   40.6946  4.4917
  -5.142    23.1556  4.4936
  -5.1499   14.9139  4.494
 -54.0675  -27.3988  4.1613
 -54.0675   19.1743  4.1618
 -54.0675    9.8597  4.162
 -57.177   -18.0842  4.1618
 -58.4607   21.2594  4.4937
 -59.1609   -9.3452  4.4941
 -59.2683  -11.0201  4.4941
 -61.4926   37.9561  4.4921
 -66.5053   44.0133  4.1595
 -74.8084  -21.3228  4.4937
 -78.9431   37.8036  4.1604
 -80.1222   51.331   4.4888
 -80.191   -43.7487  4.4911
 -81.7844  -45.6798  5.2186
 -82.8143  -46.4809  6.5533
 -86.8303  -46.5242  4.4904
 -89.0262  -23.0019  4.4936
  -9.6866  -26.6714  4.4934
  -9.8922   16.8705  4.4939
 -90.8844  -23.5855  4.842
 -93.7152   -8.1532  4.4942
 -96.5866  -25.3659  4.4935
   1.4742   20.9698  4.8421
   1.9025  -24.2939  4.1615
   1.9025    9.8597  4.162
  10.2536  -28.676   4.4932
  10.9838  -11.113   4.4941
 104.514   -14.9793  4.1619
  11.2951   25.9153  4.8418
  11.8606   27.3509  4.4933
  11.8609   21.1632  6.0844
  11.9552   42.5345  4.4913
 110.733    12.9646  4.1619
 111.767   -53.1084  5.2146
 111.823   -53.0848  5.2146
 114.24    -16.9013  4.1618
 114.567    24.2826  4.1615
 116.91     23.9283  4.8419
 116.952    -2.5598  4.1621
 116.952    40.9084  4.16
 117.837    31.7532  4.161
 117.874   -28.5493  4.1613
 118.543    31.9437  4.161
  12.5195  -35.6153  4.4925
 120.061   -49.1329  4.1584
 121.127   -45.6574  4.1592
 121.215   -21.511   4.1617
 121.708   -45.7973  4.1592
 121.967    24.5902  5.6372
 122.732    12.691   5.6382
 122.851    12.8981  5.224
 123.284   -28.2195  4.1613
 124.148     3.0549  4.1621
 124.766    10.2868  4.4941
 125.153    25.5721  4.1615
 125.359   -52.4931  4.1574
 125.466    23.2205  4.1616
 126.28    -18.0842  4.1618
 126.28    -46.0281  4.1591
 126.28    -52.2378  4.1575
 126.28      6.7548  4.162
 129.123     1.6013  4.1621
 129.39    -46.0281  4.1591
 129.39      3.6499  4.1621
 129.535   -21.8608  4.8421
  13.5353  -45.0631  4.4908
  13.5536   15.6254  5.6381
 130.745   -10.9434  5.2241
 130.93    -36.867   4.4923
 131.21    -16.0286  4.1619
 132.499   -30.5037  4.1611
 132.923    18.2577  4.1618
 133.671   -44.8369  4.1594
 134.045   -44.6985  4.1594
 134.502    40.8903  4.16
 134.894    54.5659  4.1567
 135.608    44.0133  4.1595
 135.791    51.2571  4.1578
 136.413     7.7321  4.162
 138.718     9.8597  4.162
  14.3402  -30.5037  4.1611
 141.082    48.0712  4.1587
 141.827   -24.2939  4.1615
 142.484    36.6331  4.4923
 143.833    10.1335  4.162
 143.847   -51.2737  4.1578
 144.937   -39.8183  4.1602
 144.937   -49.1329  4.1584
 145.321    18.5426  4.1618
 145.875   -34.8389  4.1608
 146.204   -49.4046  4.1583
 146.253    -0.4655  4.1621
 146.706   -11.6194  4.162
 146.779    16.9143  4.1618
 147.998    23.0535  4.1616
 148.046   -52.2378  4.1575
 148.046   -58.4476  4.1548
 148.046     6.7548  4.162
 150.135     9.6602  4.162
 150.766    20.0614  4.1617
 150.842    35.7796  4.1607
 151.156   -21.1891  4.1617
 152.856    20.1168  4.1617
 153.383    23.0805  4.1616
 153.936   -39.9604  4.1602
 156.89    -29.2068  4.1612
 157.103    -3.3467  4.1621
 158.332   -24.3536  4.1615
 158.823   -43.9154  4.1595
 159.628    37.6427  4.1604
 159.949   -18.6331  4.1618
 160.484   -42.9232  4.1597
 160.734    29.9569  4.4931
 162.376    12.8275  4.1619
 162.811   -37.6138  4.4922
 163.594   -18.0842  4.1618
 163.881   -27.0462  4.8416
 164.308    -5.6982  4.1621
 164.651   -29.4318  4.4931
 165.261   -46.8689  4.159
 166.029   -17.5549  5.2237
 166.703    -2.5598  4.1621
 166.703   -49.1329  4.1584
 168.612    -6.5162  4.162
 168.859    24.4156  4.4935
 169.812   -11.8744  4.162
 169.812   -42.9232  4.1597
 171.688   -41.7937  4.1599
 172.922     6.7548  4.162
 173.733    21.1611  4.1617
 173.8      -4.4499  4.1621
 174.95     -2.7549  4.8428
 175.61    -41.7357  5.6331
 176.031    34.6987  4.1608
  18.1642   25.5957  6.5628
  19.3642   19.4989  4.4938
  21.0164  -19.2134  5.2236
  22.6254  -25.0559  4.8418
  22.9473    7.9749  4.4942
  26.778   -18.0842  4.1618
  26.778   -21.1891  4.1617
  26.778   -24.2939  4.1615
  28.7276   25.5256  4.4934
  32.9969  -24.2939  4.1615
  32.9969   28.4889  4.1613
  33.7788   19.37    4.4938
  35.4665   35.0657  4.4925
  35.7477  -17.6878  5.2237
  36.0333   -5.7083  5.2242
  36.0582   29.4386  4.4931
  36.1063  -42.9232  4.1597
  38.5916   34.017   4.4927
  39.1887  -17.0837  5.6379
  39.2263  -41.148   4.4916
  41.5242   49.6021  4.4894
  43.4772  -21.7582  4.4937
  45.4347  -36.7134  4.1606
  45.4347   28.4889  4.1613
   5.0119  -24.2939  4.1615
   5.0119  -46.0281  4.1591
  50.9574  -15.2998  4.494
  51.6536  -18.0842  4.1618
  54.1158  -13.7061  5.6382
  57.2923  -34.8227  4.4926
  57.8724    3.6499  4.1621
  64.0913  -58.4476  4.1548
  64.8151  -27.1649  4.4933
  67.2008  -27.3988  4.1613
  67.5895  -45.3811  4.4907
  70.3102  -18.0842  4.1618
  71.433   -25.0273  4.1615
  74.9091   19.593   4.1617
  75.4813  -42.2824  4.1598
  78.4496  -27.1387  4.1614
  78.5962  -17.8707  4.1618
   8.1213   -8.7696  4.162
   8.5146  -47.5465  4.8376
  80.9102   33.9506  4.1608
  82.8261   15.3754  4.1619
  84.6388  -48.5944  4.1585
  85.8574  -24.2939  4.1615
  85.8574   50.2231  4.1581
  86.251   -47.4266  4.1588
  88.632    10.6427  4.4941
  88.9669  -33.6086  4.1609
  88.9669  -49.1329  4.1584
  90.2225  -31.2192  4.1611
  92.0763   37.8036  4.1604
  92.4311  -32.7399  4.1609
  93.5782  -45.3811  4.1593
  94.4444  -45.2016  4.1593
  94.8776   -0.5216  4.1621
  95.1858  -49.1329  4.1584
  95.1858   37.8036  4.1604
  95.6663  -23.3674  4.1616
  95.83     33.3181  4.1609
  97.9775  -22.2531  4.1616
  99.3389   15.0401  4.1619
---------  --------  ------
