Coordinates of SECOND best detected filamentary structures. Maps are square (for example sizes are 6.0844 by 6.0844)

lon(deg)   lat(deg)  size(deg)
---------  --------  ------
  -0.7786  -21.0646  6.0844
  -1.207   -18.0842  4.1618
  -1.207   -42.9232  4.1597
  -1.212    21.003   4.8421
 -10.5353  -42.9232  4.1597
 -10.5353    0.5451  4.1621
 -10.6676    4.2159  4.4942
-100.15     -1.8244  4.4942
-100.215     7.1079  4.4942
-100.483   -10.6741  4.4941
-100.709   -14.9793  4.1619
-100.709   -27.3988  4.1613
-100.709   -30.5037  4.1611
-101.758    13.4752  4.494
-103.819   -21.1891  4.1617
-103.819   -55.3427  4.1563
-104.042   -10.5986  4.4941
-106.222    -8.2234  4.4942
-108.134   -46.2394  4.4905
-108.42    -21.659   4.8421
-110.037   -24.2939  4.1615
-110.773    15.2465  4.494
-111.182    19.4774  4.4938
-113.147     0.5451  4.1621
-113.147    47.1182  4.1589
-113.181   -20.3936  4.4938
 -12.4035   24.1204  4.4935
-122.475    -8.7696  4.162
-122.475    19.1743  4.1618
-129.797   -28.5163  4.4932
 -13.6448   19.1743  4.1618
 -13.8797   35.9142  4.4924
-130.645    13.8062  4.494
-130.958   -29.12    4.4932
-132.617   -41.7473  4.4915
-136.581   -42.3252  4.4914
-143.956     7.8389  4.4942
-144.241   -33.6086  4.1609
-144.241    25.3841  4.1615
-146.636   -19.9089  4.4938
-147.351    34.6987  4.1608
-150.273     3.0118  4.4942
-150.46    -11.8744  4.162
-150.46     40.9084  4.16
-150.614     2.4107  4.8428
-153.57     40.9084  4.16
-158.331   -31.5966  4.4929
-162.898   -58.4476  4.1548
-165.358     3.7238  4.4942
-166.007   -36.7134  4.1606
-169.117   -11.8744  4.162
-172.226    28.4889  4.1613
-172.649   -33.584   4.4927
-178.376   -28.0884  4.4932
-178.445   -21.1891  4.1617
 -18.4209  -42.9611  4.839
 -19.8636  -24.2939  4.1615
 -22.9731    3.6499  4.1621
 -29.192   -49.1329  4.1584
 -29.192    12.9646  4.1619
 -29.8882  -12.0703  4.4941
  -3.5659  -20.6781  4.4937
 -32.3014    9.8597  4.162
 -34.2478  -29.6853  4.4931
 -34.3825   27.4194  4.4933
 -34.6519   10.3633  4.4941
 -35.4109  -24.2939  4.1615
 -35.4109   47.1182  4.1589
 -36.5957   48.3497  4.4899
 -37.4366  -21.7284  4.4937
 -37.7973  -29.2462  4.4931
 -38.5203  -36.7134  4.1606
 -38.5203   12.9646  4.1619
 -39.532   -14.1421  4.494
  -4.3164  -14.9793  4.1619
  -4.3164   19.1743  4.1618
  -4.3164    3.6499  4.1621
  -4.3164    9.8597  4.162
 -43.4645   38.7736  4.492
 -43.5234   38.8769  4.84
 -44.7392  -52.2378  4.1575
 -45.9083  -38.4218  4.492
 -47.8486  -14.9793  4.1619
 -49.246    40.9052  4.4916
 -49.3885  -20.123   4.8422
 -49.4952  -37.6925  4.4922
 -50.2031   38.7068  4.492
 -50.9581  -39.8183  4.1602
 -53.0304   -8.5988  4.8427
 -53.2066   37.2884  4.4922
 -54.0675  -52.2378  4.1575
 -58.6135  -29.6671  4.8414
 -59.629    21.0903  4.4937
  -6.5168   13.9669  4.8425
 -60.2276  -25.0493  4.4935
 -60.2864   16.0694  4.1619
 -62.7193  -26.8364  4.8417
 -63.6145   18.34    4.4938
